case_id,activity,chamber,time,resource,chunk
24G00215,assegnazione,senato,2024-12-03,Commissioni riunite 8ª (Ambiente,"Senato della Repubblica (atto numero 1318): Assegnato alle Commissioni riunite 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica) e 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), in sede referente, il 3 dicembre 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 6ª (Finanze e tesoro), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."
24G00215,esame_commissione,senato,2024-12-10,Commissioni riunite 8ª (Ambiente,"Esaminato dalle Commissioni riunite 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica) e 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), in sede referente, il 5 e il 10 dicembre 2024."
24G00215,esame_aula,senato,2024-12-12,,Esaminato in Aula l'11 dicembre 2024 e approvato definitivamente il 12 dicembre 2024.
24G00215,approvazione,senato,2024-12-12,,Esaminato in Aula l'11 dicembre 2024 e approvato definitivamente il 12 dicembre 2024.
24G00209,assegnazione,camera,2024-12-05,8 Commissione permanente (Ambiente,"Camera dei deputati (atto numero 2164): Assegnato alla 8 Commissione permanente (Ambiente, territorio e lavori pubblici), in sede referente, il 5 dicembre 2024, con i pareri del Comitato per la legislazione, 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 4 (Difesa), 5 (Bilancio, tesoro e programmazione), 9 (Trasporti, poste e telecomunicazioni), 10 (Attività produttive, commercio e turismo), 11 (Lavoro pubblico e privato), XIV (Politiche dell'Unione europea), Questioni regionali e del Comitato per la legislazione."
24G00209,esame_commissione,camera,2024-12-05,Commissione 8 (Ambiente,"Esaminato dalla Commissione 8 (Ambiente, territorio e lavori pubblici), in sede referente, il 5 dicembre 2024."
24G00209,esame_aula,camera,2024-12-06,,Esaminato in Aula il 6 dicembre 2024 e approvato definitivamente il 10 dicembre 2024.
24G00209,approvazione,camera,2024-12-10,,Esaminato in Aula il 6 dicembre 2024 e approvato definitivamente il 10 dicembre 2024.
24G00209,assegnazione,senato,2024-10-22,8 Commissione permanente (Ambiente,"Assegnato alla 8 Commissione permanente (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede referente, il 22 ottobre 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica amministrazione, editoria, digitalizzazione), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), Questioni regionali e del Comitato per la legislazione."
24G00209,esame_commissione,senato,2024-10-29,Commissione 8ª (Ambiente,"Esaminato dalla Commissione 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede referente, il 29 ottobre 2024; il 5, il 12, il 19, il 26 e il 28 novembre 2024; il 3 e il 4 dicembre 2024."
24G00209,esame_aula,senato,2024-12-04,,Esaminato in Aula il 4 dicembre 2024 e approvato il 5 dicembre 2024.
24G00209,approvazione,senato,2024-12-05,,Esaminato in Aula il 4 dicembre 2024 e approvato il 5 dicembre 2024.
24G00208,assegnazione,camera,2024-11-28,5 Commissione (Bilancio,"Camera dei deputati (atto numero 2150): Assegnato alla 5 Commissione (Bilancio, tesoro e programmazione), in sede referente, il 28 novembre 2024, con i pareri del Comitato per la legislazione e delle Commissioni 1 (Affari Costituzionali, della Presidenza del Consiglio e Interni), 3 (Affari esteri e comunitari), 4 (Difesa), 6 (Finanze), 7 (Cultura, scienza e istruzione), 8 (Ambiente, territorio e lavori pubblici), 9 (Trasporti, poste e telecomunicazioni), 11 (Lavoro pubblico e privato), 12 (Affari sociali), 13 (Agricoltura), XIV (Politiche dell'Unione europea) e per le Questioni regionali."
24G00208,assegnazione,senato,2024-10-22,5 Commissione (Programmazione economica,"Assegnato alla 5 Commissione (Programmazione economica, bilancio), in sede referente, il 22 ottobre 2024, con i pareri del Comitato per la legislazione e delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 6ª (Finanze e tesoro), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."
24G00208,esame_commissione,senato,2024-10-30,5 Commissione permanente (Programmazione economica,"Esaminato dalla 5 Commissione permanente (Programmazione economica, bilancio), in sede referente, il 29 e il 30 ottobre 2024; il 5, il 7, l'11, il 12, il 19, il 20, il 21, il 25, il 26 e il 27 novembre 2024; Esaminato in Aula e approvato il 28 novembre 2024."
24G00208,esame_aula,senato,2024-11-28,,"Esaminato dalla 5 Commissione permanente (Programmazione economica, bilancio), in sede referente, il 29 e il 30 ottobre 2024; il 5, il 7, l'11, il 12, il 19, il 20, il 21, il 25, il 26 e il 27 novembre 2024; Esaminato in Aula e approvato il 28 novembre 2024."
24G00208,approvazione,senato,2024-11-28,,"Esaminato dalla 5 Commissione permanente (Programmazione economica, bilancio), in sede referente, il 29 e il 30 ottobre 2024; il 5, il 7, l'11, il 12, il 19, il 20, il 21, il 25, il 26 e il 27 novembre 2024; Esaminato in Aula e approvato il 28 novembre 2024."
24G00207,assegnazione,camera,2023-05-04,3 Commissione (Affari esteri e Comunitari),"Assegnato alla 3 Commissione (Affari esteri e Comunitari), in sede referente, il 4 maggio 2023, con i pareri delle Commissioni 1 (Affari costituzionali, della Presidenza del Consiglio e Interni), 5 (Bilancio, Tesoro e Programmazione), 6 (Finanze) e 11 (Lavoro pubblico e privato)."
24G00207,esame_commissione,camera,2023-07-26,Commissione 3 (Affari esteri e Comunitari),"Esaminato dalla Commissione 3 (Affari esteri e Comunitari), in sede referente, il 26 luglio 2023, il 14 febbraio 2024, il 20 marzo 2024, il 3 e il 17 luglio 2024."
24G00207,esame_aula,camera,2024-07-22,,Esaminato in Aula il 22 luglio 2024 e approvato il 1 agosto 2024.
24G00207,approvazione,camera,2024-08-01,,Esaminato in Aula il 22 luglio 2024 e approvato il 1 agosto 2024.
24G00207,assegnazione,senato,2024-08-06,3 Commissione (Affari esteri e difesa),"Senato della Repubblica (atto numero 1210): Assegnato alla 3 Commissione (Affari esteri e difesa), in sede redigente, il 6 agosto 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 5ª (Programmazione economica, bilancio) e 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale)."
24G00207,esame_commissione,senato,2024-09-24,3 Commissione (Affari esteri e difesa),"Esaminato dalla 3 Commissione (Affari esteri e difesa), in sede redigente, il 24 settembre 2024 e il 2 ottobre 2024."
24G00207,esame_aula,senato,2024-11-21,,Esaminato in Aula ed approvato definitivamente il 21 novembre 2024.
24G00207,approvazione,senato,2024-11-21,,Esaminato in Aula ed approvato definitivamente il 21 novembre 2024.
